t, hares [x], lynx [y]
1899.998708,299193.0043,41397.96575
1900.990778,470966.8133,62003.55053
1901.992792,704202.4617,99543.68362
1903.009132,769346.458,357243.7592
1903.994882,366558.8145,589543.487
1905.003104,204635.9962,419152.9285
1906.012955,183216.6759,194192.3242
1907.007553,216994.6433,130120.2518
1908.012011,220662.3768,85805.31625
1909.004447,254440.3442,94179.68388
1909.997697,273161.8835,75269.02863
1910.990244,404790.8993,79879.94483
1911.991978,572798.6344,126828.7065
1912.993093,764640.2507,194476.451
1913.988421,518667.0171,455941.9443
1914.969031,197424.7549,510419.5751
1915.999416,110772.2765,297688.2217
1916.985812,76806.80689,158348.1038
1917.990691,148220.5998,99920.22539
1918.993857,163177.3764,98884.98131
1919.976489,248389.18,85620.48634
